
18149069	20933	1209
18149068	20933	1444
18149067	20933	1592
18149066	20933	28
18149065	20933	409
18149064	20933	913
18149063	20933	1527
18149061	20933	40
18149060	20933	1322
18149059	20933	22
18149057	20933	1653
18149056	20933	1762
18149055	20933	1764
18149052	20932	604
18149051	20932	1744
18149050	20932	1785
18149049	20932	1802
18149048	20932	1572
18149047	20932	410
18149046	20932	1887
18149045	20932	1715
18149044	20932	21
18149043	20932	374
18149042	20932	1303
18149041	20932	935
18149039	20932	1709
18149038	20932	1769
18149030	20931	920
18149029	20931	946
18149028	20931	994
18149027	20931	1683
18149026	20931	1686
18149025	20931	1855
18149024	20931	97
18149023	20931	15
18149022	20931	1474
18149021	20931	715
18149020	20931	2011
18149019	20931	342
18149018	20931	2068
18149017	20931	1811
18149016	20931	1693
18149012	20930	734
18149010	20930	238
18149009	20930	1825
18149008	20930	1822
18149006	20930	1130
18149005	20930	1862
18149004	20930	1467
18149003	20930	832
18149002	20930	1813
18149001	20930	17
18148069	20930	1802
18148068	20930	1802
18148067	20930	1632
18148066	20930	1465
18148065	20930	441
18148064	20930	1452
18148063	20930	1502
18148062	20930	1798
18148061	20930	1067
18148060	20930	911
18148059	20930	1801
18148058	20930	1601
18148054	20929	897
18148053	20929	1032
18148051	20929	1060
18148048	20929	886
18148047	20929	906
18148046	20929	1796
18148045	20929	1732
18148044	20929	944
18148043	20929	82
18148042	20929	24
18148041	20929	86
18148040	20929	110
18148039	20929	921
18148038	20929	758
18148037	20929	991
18148036	20929	27
18148035	20929	958
18148034	20929	1768
18148033	20929	1758
18148032	20929	1761
18148031	20929	1777
18148030	20929	1776
18148029	20929	82
18148028	20929	1754
18148023	20928	545
18148022	20928	1792
18148021	20928	291
18148020	20928	1778
18148019	20928	1195
18148017	20928	1625
18148016	20928	672
18148015	20928	1836
18148014	20928	1738
18148013	20928	1824
18148012	20928	1812
18148011	20928	1284
18148010	20928	1829
18148009	20928	902
18148008	20928	1401
18148007	20928	39
18148006	20928	1838
18148005	20928	340
18148004	20928	1179
18148002	20928	1010
18148001	20928	1862
18147053	20928	1831
18147052	20928	1568
18147049	20927	1766
18147048	20927	1806
18147047	20927	30
18147046	20927	1584
18147045	20927	1839
18147044	20927	1808
18147043	20927	1799
18147042	20927	1806
18147041	20927	1226
18147040	20927	1026
18147039	20927	931
18147038	20927	1768
18147037	20927	1753
18147036	20927	1747
18147035	20927	910
18147034	20927	1760
18147033	20927	1808
18147026	20926	1156
18147025	20926	1955
18147024	20926	1122
18147023	20926	1759
18147022	20926	1790
18147020	20926	633
18147019	20926	47
18147014	20925	1828
18147013	20925	1819
18147012	20925	642
18147011	20925	554
18147010	20925	1217
18147009	20925	1840
18147008	20925	1995
18147007	20925	71
18147006	20925	1122
18147005	20925	1018
18147004	20925	1842
18147003	20925	1853
18147002	20925	1607
18147001	20925	1319
18146049	20925	997
18146048	20925	1149
18146047	20925	1113
18146046	20925	1355
18146045	20925	1692
18146044	20925	168
18146043	20925	1807
18146042	20925	964
18146040	20925	2063
18146039	20925	1635
18146036	20924	1115
18146035	20924	1759
18146034	20924	61
18146033	20924	999
18146032	20924	1803
18146031	20924	117
18146030	20924	1396
18146029	20924	39
18146028	20924	1554
18146027	20924	1571
18146026	20924	1763
18146025	20924	1185
18146024	20924	1814
18146023	20924	618
18146022	20924	1733
18146021	20924	1816
18146020	20924	1812
18146019	20924	1821
18146018	20924	1800
18146012	20920	1254
18146011	20920	1537
18146010	20920	1568
18146009	20920	1803
18146008	20920	1847
18146007	20920	1584
18146005	20920	754
18146004	20920	1965
18146003	20920	1964
18146002	20920	1839
18146001	20920	1980
18145030	20919	1224
